Time,Frequency,dBFS
0.0812698,86.1328,-71.0951
0.0812698,129.199,-64.9462
0.0812698,172.266,-61.441
0.0812698,215.332,-58.4939
0.0812698,258.398,-55.6638
0.0812698,301.465,-54.199
0.0812698,344.531,-54.1447
0.0812698,387.598,-55.2228
0.0812698,430.664,-56.6019
0.0812698,473.73,-57.2469
0.0812698,516.797,-57.579
0.0812698,559.863,-58.8618
0.0812698,602.93,-61.3225
0.0812698,645.996,-62.2794
0.0812698,689.062,-59.8975
0.0812698,732.129,-57.7684
0.0812698,775.195,-56.7891
0.0812698,818.262,-57.9286
0.0812698,861.328,-62.8658
0.0812698,904.395,-71.4967
0.0812698,947.461,-66.7642
0.0812698,990.527,-61.9027
0.0812698,1033.59,-58.8032
0.0812698,1076.66,-57.0835
0.0812698,1119.73,-56.6697
0.0812698,1162.79,-57.7985
0.0812698,1205.86,-60.4234
0.0812698,1248.93,-59.1318
0.0812698,1291.99,-56.3451
0.0812698,1335.06,-55.9037
0.0812698,1378.12,-58.0365
0.0812698,1421.19,-64.7854
0.0812698,1464.26,-68.3418
0.0812698,1507.32,-62.1693
0.0812698,1550.39,-62.8541
0.0812698,1593.46,-67.2593
0.0812698,1636.52,-72.9767
0.0812698,1679.59,-84.8749
0.0812698,1722.66,-70.0459
0.0812698,1765.72,-62.5631
0.0812698,1808.79,-59.8086
0.0812698,1851.86,-59.38
0.0812698,1894.92,-59.5866
0.0812698,1937.99,-59.2274
0.0812698,1981.05,-59.1664
0.0812698,2024.12,-60.5161
0.0812698,2067.19,-63.8602
0.0812698,2110.25,-69.0626
0.0812698,2153.32,-72.1685
0.0812698,2196.39,-70.9422
0.0812698,2239.45,-69.6661
0.0812698,2282.52,-69.2742
0.0812698,2325.59,-70.4299
0.0812698,2368.65,-73.3435
0.0812698,2411.72,-77.2723
0.0812698,2454.79,-78.7292
0.0812698,2497.85,-77.8111
0.0812698,2540.92,-78.3189
0.0812698,2583.98,-77.0846
0.0812698,2627.05,-72.484
0.0812698,2670.12,-70.0024
0.0812698,2713.18,-70.0674
0.0812698,2756.25,-72.0788
0.0812698,2799.32,-74.2843
0.0812698,2842.38,-72.0319
0.0812698,2885.45,-69.012
0.0812698,2928.52,-67.8165
0.0812698,2971.58,-68.5181
0.0812698,3014.65,-71.6413
0.0812698,3057.71,-78.5039
